name,atts,limit,lr,iter,execution_time,accuracy
DuckDB-SQL-92,20,150,0.01,10,0.645329,0.6000000238418579
DuckDB-SQL-92,20,300,0.01,10,0.703947,0.6666666865348816
DuckDB-SQL-92,20,600,0.01,10,0.802245,0.6666666865348816
DuckDB-SQL-92,20,150,0.01,100,4.279515,0.7133333086967468
DuckDB-SQL-92,20,300,0.01,100,4.914337,0.8999999761581421
DuckDB-SQL-92,20,600,0.01,100,5.733453,0.95333331823349
DuckDB-SQL-92,20,150,0.01,1000,40.393266,0.9733333587646484
DuckDB-SQL-92,20,300,0.01,1000,46.454472,0.9866666793823242
DuckDB-SQL-92,20,600,0.01,1000,55.880982,0.9866666793823242
DuckDB-SQL-92,50,150,0.01,10,0.757095,0.6866666674613953
DuckDB-SQL-92,50,300,0.01,10,0.783673,0.3333333432674408
DuckDB-SQL-92,50,600,0.01,10,1.051541,0.3333333432674408
DuckDB-SQL-92,50,150,0.01,100,5.054862,0.9333333373069763
DuckDB-SQL-92,50,300,0.01,100,6.331416,0.7333333492279053
DuckDB-SQL-92,50,600,0.01,100,8.707234,0.6666666865348816
DuckDB-SQL-92,50,150,0.01,1000,47.389108,0.9733333587646484
DuckDB-SQL-92,50,300,0.01,1000,59.968812,0.9666666388511658
DuckDB-SQL-92,50,600,0.01,1000,84.779321,0.4866666793823242

